Bananas
Hass Avocados
Strawberries Prepacked
Blueberries Prepacked
Raspberries
White Seedless Grapes
Lebanese Cucumbers
Greenhouse Truss Tomatoes
Blackberries
Red Cherries
Grape Perino Tomatoes Prepacked
Carrots
Broccoli
Yellow Nectarines
White Nectarines
Honey Gold Mangoes Medium
Brown Onions
Red Capsicum
White Peaches
Seedless Watermelon Cut
Yellow Peaches
Red Onions
Medium Lemons
Iceberg Lettuce
Brown Onions
Continental Cucumbers
Sweet Corn Prepacked
Pink Lady Apples
Green Zucchini
Spring Onions
Sweet Corn
Baby Cucumbers
Medium Navel Oranges
Carrots
Sweet Gold Potatoes
Kids Pack Bananas
Lychees
Baby Broccoli
Creme Gold Washed Potatoes
Fresh Loose Cup
Granny Smith Medium Apples
Sleeved Herbs Coriander
Creme Royale Brushed Potatoes loose
Field Tomatoes
Garlic loose
Roma Tomatoes
Medium Calypso Mangoes
Baby Cos Lettuce
